Model,Brand,OS,Camera_Megapixels,Battery_mAh,Price_USD
iPhone 15 Pro,Apple,iOS,48,3274,999
Galaxy S24 Ultra,Samsung,Android,200,5000,1299
Pixel 8 Pro,Google,Android,50,5050,999
OnePlus 12,OnePlus,Android,50,5400,799
